miles,average_fuel_price,fuel_surcharge,cross_ratio,ltr_start_state,ltr_end_state,team_driver,new_year,holiday,shipment_price
294,2.8710000000000004,72.324,1.001172346,9.41,4.91,0,0,0,11.5
448,2.7939999999999996,106.176,1.03017051,28.58,12.45,0,0,0,15.0
456,2.966,118.788,1.048566412,10.31,3.79,0,0,1,13.5
294,2.9389999999999996,75.607,1.001172346,8.13,12.4,0,0,1,10.0
602,3.0610000000000004,167.657,0.994493838,8.76,7.98,1,0,1,19.5
464,2.42,76.63733333,1.066962314,4.63,0.98,0,0,0,14.25
491,2.7119999999999997,104.4193333,1.001978649,9.3,1.92,1,0,1,14.0
479,3.028,130.3678333,0.97749657,8.76,7.98,0,0,1,15.0
479,2.714,102.7455,0.97749657,9.3,1.92,0,0,0,13.5
491,2.795,115.79416670000002,1.001978649,8.17,3.61,1,0,1,14.0
488,2.715,105.48933329999998,0.995862894,9.3,1.92,1,0,0,13.5
489,3.1630000000000003,144.8255,0.99680141,8.76,7.98,1,0,1,15.0
294,2.929,74.725,1.001172346,9.35,6.54,0,0,0,9.0
447,2.7939999999999996,106.23700000000001,1.0278710229999999,28.58,12.45,0,0,0,13.5
602,2.858,147.69066669999998,0.994493838,9.41,4.91,1,0,0,18.5
602,2.9389999999999996,153.209,0.994493838,10.31,3.79,1,0,1,19.5
447,2.7889999999999997,105.194,1.0278710229999999,8.17,3.61,0,0,1,13.5
456,2.715,98.572,1.048566412,8.17,3.61,0,0,1,14.25
601,2.9130000000000003,153.05466669999998,0.992841855,9.35,6.54,1,0,0,19.5
601,2.968,157.26166669999998,0.992841855,10.31,3.79,1,0,0,19.5
479,2.938,123.103,0.977490373,8.13,12.4,0,0,1,15.0
488,2.966,127.124,0.995862894,10.31,3.79,1,0,1,15.0
447,2.459,76.288,1.0278710229999999,15.75,8.08,0,0,1,13.5
601,2.7889999999999997,141.4353333,0.992841855,8.17,3.61,1,0,1,24.5
601,2.968,157.26166669999998,0.992841855,10.31,3.79,1,0,1,19.5
454,3.042,125.37966670000002,1.043967437,8.76,7.98,0,0,1,12.0
479,2.998,128.0526667,0.97749657,8.13,12.4,0,0,0,13.0
601,2.715,129.91616670000002,0.992841855,9.3,1.92,1,0,1,19.5
601,3.028,163.5721667,0.992841855,8.76,7.98,1,0,1,15.0
479,2.8539999999999996,117.5945,0.97749657,9.35,6.54,0,0,1,15.0
465,2.764,107.105,1.069261802,8.17,3.61,0,0,1,14.25
465,2.7119999999999997,98.89,1.069261802,9.3,1.92,0,0,1,14.25
601,2.7889999999999997,141.4353333,0.992841855,8.17,3.61,1,0,1,19.5
479,2.7939999999999996,113.84233329999999,0.97749657,28.58,12.45,0,0,0,13.5
489,2.7880000000000003,114.915,0.997903597,28.58,12.45,1,1,1,15.0
293,2.858,71.88266667,0.997766998,9.41,4.91,0,0,0,10.0
